016-P,EVERYDAY CANVAS PRINTED PLACEMAT,"6 Assorted Designs
 13"" X 19""
 Case Pack: 144
 Unit Price: $ 0.55 each
",$79.20,instock,https://www.livingfashions.com/wp-content/uploads/products/016-p.jpg
C100-P,EVERYDAY TAPESTRY STOCK PLACEMATS,"6 Assorted Designs
 13""x19""
 Case Pack: 144
 Unit Price: 0.55 each
  
 *No UPC code*
 *Products shipped may not look the same as pictured on website. Case includes five assorted designs choosen from our collection to be shipped*
",$79.20,instock,https://www.livingfashions.com/wp-content/uploads/products/c100-p.jpg
0103-CP,GINGHAM CHECK CHAIRPAD,"4 Assorted Colors
 16"" X 16""
 Case Pack: 16
 Unit Price: $ 5.00 each
 100% Cotton
",$80.00,instock,https://www.livingfashions.com/wp-content/uploads/products/0103-cp.jpg
513-TH,JACQUARD COTTON THROW BLANKET,"4 Assorted Designs
 50""x 60"", 750-775 grams
 Case Pack: 12
 Unit Price: $7.00 each
",$84.00,instock,https://www.livingfashions.com/wp-content/uploads/products/513-th.jpg
212-KT,FUNNY POM POM PRINTED KITCHEN TOWEL,"5 Designs - 16""x28""
 Case Pack: 60
 Unit Price: $ 2.00 each
 Herringbone
  
 ""You Wash, I'll Dry""
 ""Coffee Keeps Me Busy Until Its Time to Drink Wine""
 ""A Recipe Without Butter is a Recipe for Disaster""
 ""Friends are Therapists You Can Drink With""
 ""I Love Cooking with Wine ....Sometimes, I Even Put it in the Food""
",$120.00,instock,https://www.livingfashions.com/wp-content/uploads/products/212-kt.jpg
223-KT,INSPIRE ME SAYINGS KITCHEN TOWEL,"5 Designs - 16""x28""
 Case Pack: 60
 Unit Price: $ 1.25 each
  
 ""Bee Kind""
 ""It Will Never Be Perfect. Make It Work. - Life""
 ""Today is a Good Day to Have A Good Day""
 ""Not All Who Wander Are Lost""
 ""This Home is Blessed""
",$75.00,instock,https://www.livingfashions.com/wp-content/uploads/products/223-kt.jpg
207-KT,Vintage Saying Tea Towel ,"5 Assorted Design
 16"" X 28""
 Case Pack: 60
 Unit Price: $ 1.25 each
",$75.00,instock,https://www.livingfashions.com/wp-content/uploads/products/207-kt.jpg
205-KT (New Style),Spring/Summer Fun Kitchen Towel ,"5 Designs - 12 each
 16 x 28""
 Case Pack: 60
 Unit Price: $ 1.25 each
 White Flour Sack
  
 ""Wine Because No Great Story Ever Started with a Salad""
 ""Bless Our Nest""
 ""Let's Avocuddle""
 ""Together is a Beautiful Place To Be""
 ""Life is Sweet""
",$75.00,instock,https://www.livingfashions.com/wp-content/uploads/products/205-kt (new style).jpg
695-PH,SOLID QUILTED POTHOLDER,"2 Pieces; 6 Colors
 6.75"" x  6.75""
 Master Pack: 144
 Unit Price: $ 0.80 each
 Weight: 53-55g /set
  
",$115.20,instock,https://www.livingfashions.com/wp-content/uploads/products/695-ph.jpg
680-OM,SOLID QUILTED OVEN MITTS,"6 Colors
 13"" - 75-80g
 Master Pack: 144
 Unit price: $ 0.80 each
  
",$115.20,instock,https://www.livingfashions.com/wp-content/uploads/products/680-om.jpg
909-HP,TABLE MAT SURFACE PROTECTORS,"2/Set (Solid Color) - 4 Colors 
 9"" Round 
 Case Pack: 48
 Unit Price: $ 1.00 each
",$48.00,instock,https://www.livingfashions.com/wp-content/uploads/products/909-hp.jpg
214-KT,FARMERS TABLE PRINTED KITCHEN TOWEL,"5 Designs - 16""x28""
 Case Pack: 60
 Unit Price: $ 1.25 each
 Flat Woven Material
  
 ""Farm to Table""
 ""Wakey, Wakey, Eggs & Bakey""
",$75.00,outofstock,https://www.livingfashions.com/wp-content/uploads/products/214-kt.jpg
216-KT,LOVE MY DOG PRINTED KITCHEN TOWEL,"5 Designs - 16""x28""
 Case Pack: 60
 Unit Price: $ 1.25 each
 Herringbone
  
 ""Cold Nose, Warm Heart""
 ""I Work Hard So My Dog Can Have A Better Life""
 ""Dog Mother, Wine Lover""
 ""When I Needed A Hand, I Found Your Paw""
 ""Love is a Four-Legged Word""
",$75.00,instock,https://www.livingfashions.com/wp-content/uploads/products/216-kt.jpg
219-PET,PET DISH MAT,"3 Designs - 13""X19""
 Case Pack: 36
 Unit Price: $ 2.50 each
",$90.00,instock,https://www.livingfashions.com/wp-content/uploads/products/219-pet.jpg
7070-HT,HAND TOWEL WITH VISCOSE BORDER,"1 pack; 6 Colors
 16"" x 25""
 Master Pack: 72
 Unit Price: $ 0.85 each
 Weight: 2.60 lbs/dzn
",$61.20,instock,https://www.livingfashions.com/wp-content/uploads/products/7070-ht.jpg
7060-BT,BATH TOWEL WITH VISCOSE BORDER ,"6 Colors - 4 ea
 27"" x 54""
 Master Pack: 24
 Unit Price: $ 3.86 each
 Weight: 12 lbs/dzn
",$92.64,instock,https://www.livingfashions.com/wp-content/uploads/products/7060-bt.jpg
7080-WC,WASH CLOTH WITH VISCOSE BORDER ,"2 Packs; 6 colors
 12"" x 12""
 Master Pack: 72
 Unit Price: $ 0.85 each
 Weight: 1.20 lbs/dzn
",$61.20,instock,https://www.livingfashions.com/wp-content/uploads/products/7080-wc.jpg
2030-BM,BATH MAT 100% COTTON,"6 Assorted Colors - Tan, Ivory, Charcol, Light Grey... Blues
 20"" X 30""
 Master pack: 24
 Unit Price: $ 3.50 each
 140 GSF
",$84.00,instock,https://www.livingfashions.com/wp-content/uploads/products/2030-bm.jpg
919-AP,SAYING PRINTED APRON ,"4 Assorted Designs
 19"" X 30""
 Case Pack: 72
 Unit Price: $ 1.25 each
  
 ""Bee Kind"" Apron - Pair with item 223 KT
 ""If I Have to Stir it, it's Homemade"" Apron - Pair with item 088 KT
 ""Bless Our Nest"" Apron - Pair with item 215 KT
 ""Farm to Table"" Apron - Pair with item 214 KT
",$90.00,instock,https://www.livingfashions.com/wp-content/uploads/products/919-ap.jpg
SW9900-PP,COTTON APRONS W/ POCKET PREPACK,"Item Size: 24""x30""
 6 Designs - 1 Pocket Pouch - 6 Aprons Each
 Case Pack: 36
 Unit Price: $ 2.00 each
  
 ""Best Mom Ever""
 ""Only the Best Moms are Promoted to Grandma""
 ""Keep Calm and Bake On""
 ""I Love Cooking With Wine. Sometimes I Even Put it in the Food"" -Match with 212-KT
 ""Bee Kind""- Match with 1126 KT
 ""Life is Too Short, Lick the Bowl"" - Match with 215 KT
",$72.00,instock,https://www.livingfashions.com/wp-content/uploads/products/sw9900-pp.jpg
988-AP,BUFFALO PLAID WOVEN APRON,"4 Colors
 24"" X 30""
 Case Pack: 48
 Unit Price: $ 3.00 each
  
 100% Cotton
 Match with item 388 KT, 188-P, 688-OP & 888-R
",$144.00,instock,https://www.livingfashions.com/wp-content/uploads/products/988-ap.jpg
NA-703,"FLOUR SACK KITCHEN TOWEL, WHITE","26""X26""
 Case Pack: 72
 Unit Price: $ 0.95 each
",$68.40,instock,https://www.livingfashions.com/wp-content/uploads/products/na-703.jpg
187-P,GINGHAM CHECK PLACEMAT ,"36 Burgandy  / 24 Navy Blue  /12 Black
 13"" X 19""
 Case Pack: 72
 Unit Price: $ 0.80 each
",$57.60,instock,https://www.livingfashions.com/wp-content/uploads/products/187-p.jpg
888-R,BUFFALO PLAID WOVEN RUNNER,"4 Colors
 13""x48""
 Case Pack: 36
 Unit Price: $3.00 each
 100% Cotton
  
 Match with item 388-KT, 688-OP, 988-AP & 188-P
",$108.00,instock,https://www.livingfashions.com/wp-content/uploads/products/888-r.jpg
388-KT,1PK BUFFALO PLAID WOVEN KITCHEN TOWEL," 4 Colors 
 15""x25""
 Case Pack: 72
 Unit Price: $ 0.80 each
 100% Cotton
  
 Match with item 688-OP, 188-P, 988-AP & 888-R
",$57.60,instock,https://www.livingfashions.com/wp-content/uploads/products/388-kt.jpg
688-OP,BUFFALO PLAID OVENMITS & POTHOLDERS SET,"4 Colors; 36 Ovenmits and 36 Potholders
 Case Pack: 72
 Unit Price: $ 0.80 each
  
 Match with item 388 KT, 188-P, 988-AP & 888-R
",$57.60,instock,https://www.livingfashions.com/wp-content/uploads/products/688-op.jpg
